 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"354700 Santa Maria da Serra";11;17;19;47
"354710 Santa Mercedes";6;8;11;25
"354740 Santa Rita d'Oeste";12;9;9;30
"354750 Santa Rita do Passa Quatro";129;125;144;398
"354760 Santa Rosa de Viterbo";88;80;95;263
"354720 Santana da Ponte Pensa";4;11;10;25
"354730 Santana de Parnaíba";61;77;65;203
"354770 Santo Anastácio";108;101;102;311
"354780 Santo André";2100;2254;2152;6506
"354790 Santo Antônio da Alegria";26;30;24;80
"354800 Santo Antônio de Posse";64;81;49;194
"354805 Santo Antônio do Aracanguá";12;24;13;49
"354810 Santo Antônio do Jardim";28;18;15;61
"354820 Santo Antônio do Pinhal";21;26;14;61
"354830 Santo Expedito";19;5;13;37
"354840 Santópolis do Aguapeí";13;16;12;41
"354850 Santos";2670;2433;2676;7779
"354860 São Bento do Sapucaí";41;48;50;139
"354870 São Bernardo do Campo";1389;1511;1490;4390
"354880 São Caetano do Sul";884;896;901;2681
"354890 São Carlos";696;705;736;2137
"354900 São Francisco";11;8;15;34
"354910 São João da Boa Vista";327;330;341;998
"354920 São João das Duas Pontes";10;14;10;34
"354925 São João de Iracema";6;3;6;15
"354930 São João do Pau d'Alho";9;13;7;29
"354940 São Joaquim da Barra";127;128;161;416
"354950 São José da Bela Vista";30;29;25;84
"354960 São José do Barreiro";11;15;17;43
"354970 São José do Rio Pardo";191;213;183;587
"354980 São José do Rio Preto";1182;1213;1175;3570
"354990 São José dos Campos";1082;1092;1240;3414
"354995 São Lourenço da Serra";15;18;29;62
"355000 São Luís do Paraitinga";53;64;56;173
"355010 São Manuel";168;165;149;482
"355020 São Miguel Arcanjo";81;99;94;274
"355030 São Paulo";33660;34158;34937;102755
"355040 São Pedro";113;103;116;332
"355050 São Pedro do Turvo";34;19;18;71
"355060 São Roque";223;242;265;730
"355070 São Sebastião";92;101;111;304
"355080 São Sebastião da Grama";47;58;42;147
"355090 São Simão";81;72;63;216
"355100 São Vicente";869;883;914;2666
"355110 Sarapuí";30;23;22;75
"355120 Sarutaiá";11;7;8;26
"355130 Sebastianópolis do Sul";15;10;6;31
"355140 Serra Azul";22;25;21;68
"355160 Serra Negra";125;109;100;334
"355150 Serrana";65;58;62;185
"355170 Sertãozinho";227;247;246;720
"355180 Sete Barras";40;34;41;115
"355190 Severínia";42;36;42;120
"355200 Silveiras";21;18;18;57
"355210 Socorro";162;181;182;525
"355220 Sorocaba";1500;1526;1536;4562
"355230 Sud Mennucci";14;17;25;56
"355240 Sumaré";293;345;329;967
"355255 Suzanápolis";5;10;5;20
"355250 Suzano";466;493;449;1408
"355260 Tabapuã";48;49;57;154
"355270 Tabatinga";52;59;36;147
"355280 Taboão da Serra";354;344;416;1114
"355290 Taciba";16;31;13;60
"355300 Taguaí";25;35;22;82
"355310 Taiaçu";23;20;20;63
"355320 Taiúva";33;25;27;85
"355330 Tambaú";82;85;80;247
"355340 Tanabi";85;102;93;280
"355350 Tapiraí";22;29;17;68
"355360 Tapiratiba";51;51;51;153
"355370 Taquaritinga";193;213;197;603
"355380 Taquarituba";84;77;71;232
"355385 Taquarivaí";5;8;9;22
"355390 Tarabai";15;13;25;53
"355395 Tarumã";21;16;27;64
"355400 Tatuí";303;365;351;1019
"355410 Taubaté";766;815;836;2417
"355420 Tejupá";15;14;22;51
"355430 Teodoro Sampaio";36;56;38;130
