 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"411640 Nossa Senhora das Graças";8;6;1;15
"411650 Nova Aliança do Ivaí";1;1;3;5
"411660 Nova América da Colina";7;13;5;25
"411670 Nova Aurora";32;30;21;83
"411680 Nova Cantu";27;16;21;64
"411690 Nova Esperança";46;53;39;138
"411695 Nova Esperança do Sudoeste";5;5;1;11
"411700 Nova Fátima";15;25;11;51
"411705 Nova Laranjeiras";21;11;18;50
"411710 Nova Londrina";24;28;26;78
"411720 Nova Olímpia";18;14;16;48
"411725 Nova Prata do Iguaçu";10;18;22;50
"411721 Nova Santa Bárbara";9;5;9;23
"411722 Nova Santa Rosa";10;10;8;28
"411727 Nova Tebas";16;14;19;49
"411729 Novo Itacolomi";-;6;5;11
"411730 Ortigueira";58;49;62;169
"411740 Ourizona";5;3;5;13
"411745 Ouro Verde do Oeste";6;7;5;18
"411750 Paiçandu";38;49;52;139
"411760 Palmas";77;68;83;228
"411770 Palmeira";71;70;71;212
"411780 Palmital";33;34;36;103
"411790 Palotina";33;40;34;107
"411800 Paraíso do Norte";20;21;18;59
"411810 Paranacity";17;16;19;52
"411820 Paranaguá";271;332;340;943
"411830 Paranapoema";7;6;4;17
"411840 Paranavaí";144;135;137;416
"411845 Pato Bragado";5;4;4;13
"411850 Pato Branco";98;108;114;320
"411860 Paula Freitas";7;10;8;25
"411870 Paulo Frontin";10;16;12;38
"411880 Peabiru";38;33;32;103
"411890 Pérola";26;25;20;71
"411900 Pérola d'Oeste";18;27;12;57
"411910 Piên";11;15;16;42
"411915 Pinhais";198;221;208;627
"411925 Pinhal de São Bento";2;3;7;12
"411920 Pinhalão";8;6;9;23
"411930 Pinhão";41;60;61;162
"411940 Piraí do Sul";46;36;46;128
"411950 Piraquara";99;95;92;286
"411960 Pitanga";68;73;77;218
"411965 Pitangueiras";6;-;3;9
"411970 Planaltina do Paraná";7;4;7;18
"411980 Planalto";25;29;25;79
"411990 Ponta Grossa";630;597;627;1854
"412000 Porecatu";35;36;29;100
"412010 Porto Amazonas";3;6;7;16
"412020 Porto Rico";10;11;10;31
"412030 Porto Vitória";12;8;9;29
"412035 Pranchita";11;11;13;35
"412040 Presidente Castelo Branco";7;9;12;28
"412050 Primeiro de Maio";16;20;32;68
"412060 Prudentópolis";87;87;88;262
"412070 Quatiguá";14;24;20;58
"412080 Quatro Barras";25;26;27;78
"412085 Quatro Pontes";5;4;4;13
"412090 Quedas do Iguaçu";63;67;57;187
"412100 Querência do Norte";20;5;13;38
"412110 Quinta do Sol";14;10;9;33
"412120 Quitandinha";31;31;28;90
"412125 Ramilândia";1;4;7;12
