 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1996-2012
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"130360 Santa Isabel do Rio Negro";1;1;1;1;-;3;5;4;3;2;4;9;3;7;7;4;3;58
"130370 Santo Antônio do Içá";-;-;-;2;1;-;2;1;-;2;2;6;1;6;2;2;1;28
"130380 São Gabriel da Cachoeira";2;4;5;2;23;27;29;17;19;24;23;17;22;27;16;16;15;288
"130390 São Paulo de Olivença";1;3;-;3;1;7;-;-;3;4;-;3;2;9;5;6;6;53
"130395 São Sebastião do Uatumã";-;-;-;-;1;1;1;1;2;2;1;-;1;-;-;-;-;10
"130400 Silves";-;-;1;-;-;1;2;2;2;-;1;1;-;-;2;-;-;12
"130406 Tabatinga";5;4;3;5;9;7;18;8;6;6;8;9;11;16;8;10;12;145
"130410 Tapauá";-;2;2;1;3;3;7;4;-;3;3;4;-;4;4;2;5;47
"130420 Tefé";3;1;1;4;7;3;5;5;7;5;1;16;7;10;11;3;11;100
"130423 Tonantins";-;-;-;1;3;4;4;2;-;1;2;1;-;1;2;-;1;22
"130426 Uarini";-;-;-;-;4;4;1;2;2;-;2;1;2;1;2;1;1;23
"130430 Urucará";1;-;-;1;-;2;3;1;-;-;1;1;3;1;-;1;-;15
"130440 Urucurituba";-;-;-;1;1;3;3;5;3;2;1;1;1;2;1;2;1;27
"130000 Município ignorado - AM";-;2;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;5
"140005 Alto Alegre";5;2;5;13;8;4;2;2;3;2;11;8;2;10;4;1;8;90
"140002 Amajari";-;-;3;5;1;1;1;-;2;2;11;-;3;7;2;3;7;48
"140010 Boa Vista";38;26;17;21;23;28;15;20;24;24;11;14;14;13;9;13;17;327
"140015 Bonfim";2;1;2;1;5;-;-;2;-;-;4;-;2;2;2;2;-;25
"140017 Cantá";-;2;1;1;2;1;-;-;1;3;-;1;2;-;2;1;3;20
"140020 Caracaraí";-;-;4;11;3;-;2;2;3;1;3;2;1;3;-;1;1;37
"140023 Caroebe";-;-;-;-;1;-;1;1;-;2;3;-;-;-;1;3;-;12
"140028 Iracema";-;-;-;1;-;-;1;2;-;1;4;1;-;3;2;-;-;15
"140030 Mucajaí";2;-;3;1;3;1;1;-;2;2;3;-;-;2;-;1;-;21
"140040 Normandia";2;4;2;3;2;1;3;2;3;2;1;2;5;1;2;1;3;39
"140045 Pacaraima";-;-;1;-;5;2;1;2;1;1;-;1;-;2;3;1;2;22
"140047 Rorainópolis";-;2;-;1;1;2;2;-;-;2;1;1;3;2;2;3;2;24
"140050 São João da Baliza";1;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;2;7
"140060 São Luiz";-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;4
"140070 Uiramutã";-;-;-;3;6;-;1;2;4;11;1;3;-;-;3;3;3;40
"140000 Município ignorado - RR";-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150010 Abaetetuba";24;19;19;26;12;19;10;15;18;19;16;11;8;17;9;7;7;256
"150013 Abel Figueiredo";-;-;-;1;3;-;-;-;1;2;-;1;-;2;-;1;-;11
"150020 Acará";2;1;4;7;3;5;4;9;5;6;6;2;3;6;4;3;5;75
"150030 Afuá";1;2;-;1;4;3;1;1;6;3;1;1;3;3;1;1;4;36
"150034 Água Azul do Norte";-;-;1;-;1;2;2;-;-;-;-;-;1;1;-;-;1;9
"150040 Alenquer";1;3;2;7;1;2;2;2;2;6;3;4;3;4;8;2;4;56
"150050 Almeirim";-;3;1;1;2;1;3;4;2;2;3;1;4;1;2;2;4;36
"150060 Altamira";24;16;14;13;20;12;10;13;15;8;14;13;10;7;13;15;7;224
"150070 Anajás";3;3;1;3;6;4;3;9;2;11;4;8;2;2;3;4;3;71
"150080 Ananindeua";44;35;40;26;30;29;26;39;27;19;22;10;33;24;20;18;23;465
"150085 Anapu";-;-;-;1;2;2;-;4;-;2;4;-;-;2;2;3;3;25
"150090 Augusto Corrêa";-;-;1;7;-;4;6;1;3;13;5;1;5;2;1;4;1;54
"150095 Aurora do Pará";1;-;-;1;5;4;2;1;3;4;1;-;1;-;-;4;4;31
"150100 Aveiro";-;2;1;1;2;-;1;1;1;5;1;1;1;3;3;-;-;23
"150110 Bagre";-;2;2;2;-;1;3;6;4;3;1;10;7;5;6;1;2;55
"150120 Baião";3;1;3;1;3;5;4;1;2;1;1;1;1;2;1;1;1;32
"150125 Bannach";-;2;-;-;-;-;-;1;1;-;1;1;-;1;-;1;-;8
"150130 Barcarena";5;2;4;5;4;6;6;19;8;7;11;2;12;9;4;10;6;120
"150140 Belém";125;102;109;129;112;115;106;86;73;89;61;58;71;62;53;44;72;1467
"150145 Belterra";-;-;2;-;3;-;2;1;3;-;2;1;1;1;1;3;-;20
"150150 Benevides";2;2;1;4;2;5;1;5;3;4;3;4;1;4;3;3;4;51
"150157 Bom Jesus do Tocantins";-;1;-;1;1;1;1;3;2;2;-;-;2;-;-;1;1;16
"150160 Bonito";-;-;1;-;1;1;1;1;-;1;-;-;-;1;-;-;2;9
"150170 Bragança";1;8;18;12;12;10;16;18;11;13;15;8;10;10;12;8;9;191
"150172 Brasil Novo";1;2;1;-;-;1;1;-;3;1;1;-;-;1;1;-;-;13
"150175 Brejo Grande do Araguaia";-;2;1;-;-;-;2;-;1;1;-;1;-;-;1;-;-;9
"150178 Breu Branco";2;1;3;-;3;2;5;7;6;9;3;6;5;5;3;2;2;64
"150180 Breves";16;16;16;16;13;14;14;17;9;17;14;6;15;9;22;15;10;239
"150190 Bujaru";1;2;2;3;-;3;3;5;6;2;7;2;5;3;3;3;5;55
"150200 Cachoeira do Arari";1;1;1;2;2;-;1;5;1;-;1;1;-;2;2;3;-;23
"150195 Cachoeira do Piriá";-;-;1;1;1;-;2;2;1;-;1;-;2;1;1;1;-;14
"150210 Cametá";11;14;16;18;18;15;11;18;14;9;13;10;17;14;18;15;13;244
"150215 Canaã dos Carajás";-;-;1;2;1;-;3;2;1;6;3;1;3;1;4;3;4;35
"150220 Capanema";6;13;4;3;6;7;2;2;5;3;1;3;1;1;1;3;2;63
"150230 Capitão Poço";7;4;5;3;2;5;4;5;3;4;2;5;3;3;5;3;3;66
"150240 Castanhal";12;8;11;10;6;17;16;8;9;5;10;12;14;7;9;6;15;175
"150250 Chaves";2;-;-;-;1;4;1;-;-;3;-;3;-;4;-;-;1;19
"150260 Colares";2;-;2;4;1;3;-;1;-;1;2;-;-;-;-;-;1;17
"150270 Conceição do Araguaia";3;2;3;3;4;2;4;4;4;1;2;3;4;3;4;4;1;51
"150275 Concórdia do Pará";3;1;1;-;-;5;2;12;5;4;-;3;1;2;2;3;3;47
"150276 Cumaru do Norte";-;-;-;-;1;-;-;-;1;-;1;-;-;3;-;-;4;10
"150277 Curionópolis";2;4;2;2;3;3;2;6;3;2;3;1;2;1;1;1;1;39
"150280 Curralinho";1;2;2;1;3;7;1;2;3;6;3;3;4;6;4;6;3;57
"150285 Curuá";-;-;1;1;-;-;3;1;2;-;2;1;1;2;-;-;1;15
"150290 Curuçá";2;1;1;-;-;2;2;2;1;2;-;1;1;-;1;-;2;18
"150293 Dom Eliseu";-;1;4;1;7;10;5;2;6;5;5;-;2;5;5;2;-;60
"150295 Eldorado do Carajás";5;5;8;9;7;4;3;3;5;5;7;4;2;2;5;4;3;81
"150300 Faro";-;-;-;-;2;-;1;-;-;1;1;-;-;-;-;1;-;6
"150304 Floresta do Araguaia";-;1;2;-;3;1;1;2;2;-;-;-;1;4;1;1;2;21
"150307 Garrafão do Norte";4;5;4;2;3;4;1;4;1;3;2;1;1;4;-;-;-;39
"150309 Goianésia do Pará";-;-;2;3;3;4;3;2;5;6;5;3;3;3;4;3;5;54
"150310 Gurupá";3;3;1;5;3;5;2;2;2;4;1;-;3;3;4;1;3;45
"150320 Igarapé-Açu";5;2;6;8;6;3;3;4;3;1;1;-;-;6;5;3;6;62
"150330 Igarapé-Miri";3;4;2;5;1;1;3;7;7;7;4;7;3;9;7;4;6;80
"150340 Inhangapi";1;1;2;-;1;2;-;1;-;-;-;3;-;-;-;-;-;11
"150345 Ipixuna do Pará";1;-;3;2;1;6;-;1;4;1;4;4;3;2;3;2;7;44
"150350 Irituia";1;-;2;3;2;3;3;6;1;2;2;3;2;1;3;1;-;35
"150360 Itaituba";1;2;8;24;20;15;14;17;15;9;9;8;5;7;7;8;1;170
"150370 Itupiranga";-;2;5;4;2;5;7;10;6;10;11;7;7;6;4;4;3;93
"150375 Jacareacanga";-;-;-;1;5;2;3;3;2;2;1;7;3;6;10;3;2;50
"150380 Jacundá";-;1;6;3;14;11;14;8;11;11;3;7;3;4;6;2;1;105
"150390 Juruti";3;2;1;2;2;1;3;5;1;3;5;5;4;4;2;3;3;49
"150400 Limoeiro do Ajuru";-;1;1;1;1;1;2;2;5;8;2;2;2;3;2;2;2;37
